geoid,name,state,county,county_name,tract,population_acs5_2020,population_moe_acs5_2020,median_household_income_acs5_2020,median_household_income_moe_acs5_2020,incidents_2020,eligible_for_income_analysis,incidents_per_100k_2020
36005024700,"Census Tract 0247.00, Bronx County, New York",36,5,Bronx,24700,1906,356,55938,17646,1,True,52.46589716684156
36005024800,"Census Tract 0248.00, Bronx County, New York",36,5,Bronx,24800,3178,474,75000,17826,0,True,0.0
36005024900,"Census Tract 0249.00, Bronx County, New York",36,5,Bronx,24900,0,12,-666666666,-222222222,0,False,
36005025000,"Census Tract 0250.00, Bronx County, New York",36,5,Bronx,25000,2604,462,79089,20934,0,True,0.0
36005025100,"Census Tract 0251.00, Bronx County, New York",36,5,Bronx,25100,6430,947,43799,7413,1,True,15.552099533437012
36005025200,"Census Tract 0252.00, Bronx County, New York",36,5,Bronx,25200,2677,386,69375,23093,0,True,0.0
36005025300,"Census Tract 0253.00, Bronx County, New York",36,5,Bronx,25300,6155,905,38594,11136,3,True,48.7408610885459
36005025400,"Census Tract 0254.00, Bronx County, New York",36,5,Bronx,25400,1912,310,51188,12777,0,True,0.0
36005025500,"Census Tract 0255.00, Bronx County, New York",36,5,Bronx,25500,7726,1082,45188,13801,1,True,12.943308309603935
36005025600,"Census Tract 0256.00, Bronx County, New York",36,5,Bronx,25600,1547,321,48813,9683,0,True,0.0
36005025700,"Census Tract 0257.00, Bronx County, New York",36,5,Bronx,25700,1732,350,48708,18945,0,True,0.0
36005026100,"Census Tract 0261.00, Bronx County, New York",36,5,Bronx,26100,1994,320,50913,10239,2,True,100.30090270812437
36005026300,"Census Tract 0263.00, Bronx County, New York",36,5,Bronx,26300,6314,990,28617,5756,2,True,31.675641431738992
36005026400,"Census Tract 0264.00, Bronx County, New York",36,5,Bronx,26400,5411,863,52132,16291,1,True,18.48087229717243
36005026500,"Census Tract 0265.00, Bronx County, New York",36,5,Bronx,26500,7426,1342,49015,10741,2,True,26.932399676811205
36005026601,"Census Tract 0266.01, Bronx County, New York",36,5,Bronx,26601,3108,523,56338,12976,1,True,32.17503217503217
36005026602,"Census Tract 0266.02, Bronx County, New York",36,5,Bronx,26602,5229,986,54501,10920,0,True,0.0
36005026701,"Census Tract 0267.01, Bronx County, New York",36,5,Bronx,26701,3986,835,44631,16246,0,True,0.0
36005026702,"Census Tract 0267.02, Bronx County, New York",36,5,Bronx,26702,7862,1178,39434,19202,0,True,0.0
36005026900,"Census Tract 0269.00, Bronx County, New York",36,5,Bronx,26900,3652,764,25039,20208,0,True,0.0
36005027300,"Census Tract 0273.00, Bronx County, New York",36,5,Bronx,27300,7312,1170,44350,13286,1,True,13.676148796498905
36005027401,"Census Tract 0274.01, Bronx County, New York",36,5,Bronx,27401,5042,757,85795,30335,0,True,0.0
36005027402,"Census Tract 0274.02, Bronx County, New York",36,5,Bronx,27402,3442,579,96550,28530,0,True,0.0
36005027600,"Census Tract 0276.00, Bronx County, New York",36,5,Bronx,27600,261,235,2499,-333333333,1,True,383.1417624521073
36005027700,"Census Tract 0277.00, Bronx County, New York",36,5,Bronx,27700,4503,671,29937,12078,2,True,44.41483455474128
36005027900,"Census Tract 0279.00, Bronx County, New York",36,5,Bronx,27900,7884,1072,60132,19466,0,True,0.0
36005028100,"Census Tract 0281.00, Bronx County, New York",36,5,Bronx,28100,3799,361,54386,17752,1,True,26.322716504343248
36005028300,"Census Tract 0283.00, Bronx County, New York",36,5,Bronx,28300,2086,491,-666666666,-222222222,0,False,0.0
36005028400,"Census Tract 0284.00, Bronx County, New York",36,5,Bronx,28400,527,193,-666666666,-222222222,0,False,0.0
36005028500,"Census Tract 0285.00, Bronx County, New York",36,5,Bronx,28500,3538,563,63926,8929,0,True,0.0
36005028600,"Census Tract 0286.00, Bronx County, New York",36,5,Bronx,28600,949,198,79141,13740,0,True,0.0
36005028700,"Census Tract 0287.00, Bronx County, New York",36,5,Bronx,28700,3246,544,56250,16660,0,True,0.0
36005028800,"Census Tract 0288.00, Bronx County, New York",36,5,Bronx,28800,3251,789,76250,12475,0,True,0.0
36005028900,"Census Tract 0289.00, Bronx County, New York",36,5,Bronx,28900,4609,630,48173,6724,0,True,0.0
36005029301,"Census Tract 0293.01, Bronx County, New York",36,5,Bronx,29301,1772,191,131250,33628,0,True,0.0
36005029302,"Census Tract 0293.02, Bronx County, New York",36,5,Bronx,29302,5546,789,108711,9739,0,True,0.0
36005029500,"Census Tract 0295.00, Bronx County, New York",36,5,Bronx,29500,4401,649,93821,10579,0,True,0.0
36005029600,"Census Tract 0296.00, Bronx County, New York",36,5,Bronx,29600,1807,300,49493,3805,0,True,0.0
36005029700,"Census Tract 0297.00, Bronx County, New York",36,5,Bronx,29700,3946,427,89037,15422,0,True,0.0
